Compound,Date,Negative,Neutral,Newsfeed,Positive,Text,Tweets Ago
-0.0516,Mon Sep 17 14:42:34 +0000 2018,0.697,0.156,@BBCBreaking,0.148,"US Supreme Court nominee Brett Kavanaugh says sexual assault claim against him is ""completely false"" in first comme… https://t.co/MPyA5T4jiH",47
0.1027,Mon Sep 17 09:18:01 +0000 2018,0.802,0.086,@BBCBreaking,0.111,"International Monetary Fund warns no-deal #Brexit would inflict ""substantial costs"" on the UK economy https://t.co/qBkhE3584i",48
0.0,Sun Sep 16 19:30:19 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"Police have sealed off the Prezzo restaurant in High Street, Salisbury, following a 'medical incident' involving a man and a woman",49
0.0516,Sun Sep 16 19:24:39 +0000 2018,0.667,0.162,@BBCBreaking,0.171,Correction: Christine Blasey Ford reveals she was teenager allegedly assaulted by Supreme Court nominee Kavanaugh https://t.co/NMZLm0Ro4C,50
0.0,Sun Sep 16 09:31:11 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"RT @BBCSport: Kenya's Eliud Kipchoge has set a new marathon world record in Berlin.

https://t.co/D9EEUxebgM https://t.co/mb8oigT6FB",51
-0.6486,Sat Sep 15 01:32:56 +0000 2018,0.83,0.17,@BBCBreaking,0.0,"At least five dead as Florence mauls US East Coast

·Winds of up to 70mph (110km/h) expected for several days
·Almo… https://t.co/dAXPvHdCAW",52
-0.6705,Fri Sep 14 21:00:56 +0000 2018,0.791,0.209,@BBCBreaking,0.0,"Hurricane Florence downgraded to tropical storm
 
• Four people killed as storm batters US East Coast
• 600,000 hom… https://t.co/EWslcjopvp",53
-0.6887,Fri Sep 14 18:28:18 +0000 2018,0.608,0.325,@BBCBreaking,0.066,"Typhoon Mangkhut reaches northern Philippines with officials warning of possible ""very heavy damage"" https://t.co/ez3FCfWNV1",54
0.2023,Fri Sep 14 15:41:17 +0000 2018,0.886,0.0,@BBCBreaking,0.114,"Trump's former campaign manager Paul Manafort agrees to co-operate with Mueller probe, prosecutor says https://t.co/o8VmfnfWtx",55
0.0,Fri Sep 14 11:48:34 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"#HurricaneFlorence latest

• Centre of hurricane eye makes landfall
• More than 300,000 people without power 
• Eva… https://t.co/hxwsLoRxka",56
0.0,Fri Sep 14 10:05:23 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"#HurricaneFlorence makes landfall on east coast of US

Follow our live updates https://t.co/DEangW2yzK https://t.co/yy1qY9b4ui",57
-0.7351,Thu Sep 13 10:26:24 +0000 2018,0.721,0.279,@BBCBreaking,0.0,Suspects in poisoning of ex-Russian spy Sergei Skripal tell state-sponsored TV network RT they visited Salisbury as… https://t.co/wJsPNLoMCp,58
-0.7351,Thu Sep 13 10:13:52 +0000 2018,0.733,0.267,@BBCBreaking,0.0,Two men named as suspects in poisoning of Russian ex-spy claim they were merely tourists to Salisbury Cathedral https://t.co/PFXBDyJrkf,59
-0.8442,Wed Sep 12 15:02:35 +0000 2018,0.664,0.336,@BBCBreaking,0.0,"British couple who died at Egyptian hotel were killed by E. coli, the country's general prosecutor says https://t.co/PqSvcJ75N8",60
-0.2556,Wed Sep 12 07:06:33 +0000 2018,0.721,0.161,@BBCBreaking,0.118,"""Nothing criminal"" about men named by UK over poisoning of ex-Russian spy Sergei Skripal and daughter, Putin says https://t.co/UjoGhhCn3G",61
0.658,Tue Sep 11 16:30:50 +0000 2018,0.846,0.0,@BBCBreaking,0.154,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…",62
0.5267,Tue Sep 11 09:21:43 +0000 2018,0.871,0.0,@BBCBreaking,0.129,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…",63
-0.4404,Tue Sep 11 08:35:00 +0000 2018,0.828,0.172,@BBCBreaking,0.0,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM",64
0.0,Mon Sep 10 14:09:41 +0000 2018,1.0,0.0,@BBCBreaking,0.0,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE,65
-0.3707,Mon Sep 10 11:45:36 +0000 2018,0.904,0.096,@BBCBreaking,0.0,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…",66
0.6249,Sun Sep 09 18:09:57 +0000 2018,0.718,0.0,@BBCBreaking,0.282,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb",67
-0.8555,Sun Sep 09 17:03:42 +0000 2018,0.58,0.42,@BBCBreaking,0.0,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW",68
0.8402,Sat Sep 08 21:47:17 +0000 2018,0.577,0.083,@BBCBreaking,0.34,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy,69
-0.9231,Sat Sep 08 17:02:27 +0000 2018,0.53,0.47,@BBCBreaking,0.0,"Woman, 28, arrested after man stabbed in Barnsley, South Yorkshire is being held on suspicion of attempted murder https://t.co/iWCXSe2gLM",70
-0.7184,Sat Sep 08 09:38:43 +0000 2018,0.76,0.24,@BBCBreaking,0.0,"One person arrested after reports man had been stabbed in Barnsley town centre, as police investigate if it was an… https://t.co/oyYQpXLyph",71
-0.0772,Sat Sep 08 09:10:30 +0000 2018,0.902,0.098,@BBCBreaking,0.0,"Police responding to ""serious incident"" in Barnsley, South Yorkshire, the force says https://t.co/hIXI30hWJ9",72
-0.6486,Fri Sep 07 21:28:58 +0000 2018,0.815,0.185,@BBCBreaking,0.0,"US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKhUKCXkC",73
-0.765,Fri Sep 07 20:45:14 +0000 2018,0.72,0.28,@BBCBreaking,0.0,Former Donald Trump aide George Papadopoulos jailed for 14 days for lying to the FBI in Russia investigation https://t.co/SIBVvJz398,74
-0.7871,Fri Sep 07 07:00:15 +0000 2018,0.433,0.427,@BBCBreaking,0.14,"BA boss ""extremely sorry"" after some customers' data stolen in ""very sophisticated criminal attack"" on website https://t.co/PGrIfzJlnG",75
-0.8225,Thu Sep 06 20:55:50 +0000 2018,0.612,0.388,@BBCBreaking,0.0,Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F,76
0.4019,Thu Sep 06 19:28:33 +0000 2018,0.847,0.0,@BBCBreaking,0.153,"Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars… https://t.co/FNVMKFPafC",77
0.0,Thu Sep 06 19:06:08 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Delive… https://t.co/eeqUAl3qVP",78
-0.2732,Thu Sep 06 17:00:22 +0000 2018,0.87,0.13,@BBCBreaking,0.0,A planned tax cut for 2.7m self-employed workers has been scrapped by the UK government https://t.co/v9Mbp69qsd,79
0.3245,Thu Sep 06 15:10:53 +0000 2018,0.543,0.159,@BBCBreaking,0.298,"US, France, Germany and Canada agree with UK that Russian government ""almost certainly"" approved Salisbury poisoning https://t.co/zEJwB5R0mT",80
-0.5574,Thu Sep 06 10:35:28 +0000 2018,0.783,0.217,@BBCBreaking,0.0,"Cranberries singer Dolores O'Riordan died by drowning due to alcohol intoxication, inquest told https://t.co/CdevEV5EYs",81
-0.128,Thu Sep 06 06:28:06 +0000 2018,0.524,0.249,@BBCBreaking,0.227,Gay sex is no longer a crime in India after a historic verdict by the Supreme Court https://t.co/GnrdzPPSuF,82
-0.7351,Wed Sep 05 12:11:06 +0000 2018,0.721,0.279,@BBCBreaking,0.0,"""This was not a rogue operation""

UK PM Theresa May says suspects in Salisbury poisoning investigation were Russian… https://t.co/MbTg37F5H6",83
-0.34,Wed Sep 05 12:05:07 +0000 2018,0.636,0.233,@BBCBreaking,0.131,"Two Salisbury attack suspects are believed to be Russian military intelligence officers, UK PM Theresa May says https://t.co/cC5Plpg7J4",84
-0.4767,Wed Sep 05 10:09:08 +0000 2018,0.846,0.154,@BBCBreaking,0.0,"UK police name two Russian nationals saying there is ""sufficient evidence"" to charge them over Salisbury attack https://t.co/SXGLXtBgPY",85
0.7351,Wed Sep 05 10:01:06 +0000 2018,0.545,0.133,@BBCBreaking,0.321,"Rachael Bland, BBC presenter who won praise for her honest portrayal of cancer in her blog and podcast, dies aged 4… https://t.co/90T6zvn51D",86
0.1779,Tue Sep 04 16:23:45 +0000 2018,0.918,0.0,@BBCBreaking,0.082,UK Labour’s ruling body the NEC to adopt in full an international definition of anti-Semitism after months of rows https://t.co/crqNidbgLk,87
-0.7906,Tue Sep 04 04:05:29 +0000 2018,0.682,0.318,@BBCBreaking,0.0,"Founder of Afghan militant network Jalaluddin Haqqani is dead after years of illness, the Taliban announces https://t.co/WL9DGkEoDd",88
0.0,Mon Sep 03 12:16:16 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"2018 was joint-hottest summer on record for UK as a whole and the hottest for England, Met Office says https://t.co/dbKp5lDVPR",89
-0.0516,Mon Sep 03 07:14:50 +0000 2018,0.941,0.059,@BBCBreaking,0.0,Chris Evans reveals live on air he is to leave Radio 2 breakfast show after eight years at the helm https://t.co/xgzFkesyme,90
-0.6249,Mon Sep 03 04:08:27 +0000 2018,0.785,0.215,@BBCBreaking,0.0,Myanmar jails two Reuters journalists for seven years over their investigation into violence against Rohingyas https://t.co/csKrk4XPxD,91
0.0258,Mon Sep 03 00:43:10 +0000 2018,0.786,0.105,@BBCBreaking,0.109,"One of Latin America's largest natural history museums, in Brazil's Rio de Janeiro, has been hit by a massive fire https://t.co/hXegQI4Lsk",92
-0.34,Sun Sep 02 21:45:33 +0000 2018,0.882,0.118,@BBCBreaking,0.0,"Up in flames - dramatic images of fire at the Littlewoods Pools building, one of Liverpool's most famous landmarks https://t.co/sXBSryMSmE",93
-0.7003,Fri Aug 31 21:55:30 +0000 2018,0.721,0.279,@BBCBreaking,0.0,"Janbaz Tarin, 21, charged with murders of Raneem Oudeh and her mother Khaola Saleem in Solihull https://t.co/rKisbSWW2S",94
0.4215,Fri Aug 31 20:16:13 +0000 2018,0.859,0.0,@BBCBreaking,0.141,"The United States is ending all funding for the UN's Palestinian refugee agency, the State Department says https://t.co/V2RJe5Mtft",95
0.0,Fri Aug 31 19:54:02 +0000 2018,1.0,0.0,@BBCBreaking,0.0,"US-Canada trade talks break up without deal but negotiations will continue next week, US official confirms https://t.co/rb1dDmFCam",96
-0.6705,Fri Aug 31 15:53:33 +0000 2018,0.78,0.22,@BBCBreaking,0.0,"Leader of pro-Russian self-declared Donetsk republic in eastern Ukraine killed in cafe blast, his government says https://t.co/aNFtUbsJhI",97
-0.836,Fri Aug 31 14:16:56 +0000 2018,0.717,0.283,@BBCBreaking,0.0,Naa'imur Zakariyah Rahman jailed for life with minimum term of 30 years for plot to kill UK PM in Downing Street https://t.co/EfFMkw3ZjF,98
0.0,Fri Aug 31 09:15:51 +0000 2018,1.0,0.0,@BBCBreaking,0.0,London’s new Crossrail underground line will not open until autumn 2019 - nine months after its scheduled launch https://t.co/ngGSraTbFT,99
0.0,Fri Aug 31 06:08:23 +0000 2018,1.0,0.0,@BBCBreaking,0.0,Coca-Cola is to buy the Costa Coffee chain from Whitbread for £3.9bn https://t.co/f49WFwsGMa,100
-0.7096,Sun Sep 30 20:39:53 +0000 2018,0.718,0.282,@CBSNews,0.0,"Tonight, on the season premiere of @60Minutes : Jailed doctor who prescribed opioids says he's a scapegoat, victim'… https://t.co/M3KnEJQkrx",1
0.1406,Sun Sep 30 20:25:19 +0000 2018,0.934,0.0,@CBSNews,0.066,"RT @60Minutes: As we start Season 51 of 60 Minutes, we remain committed to investigations and in-depth reporting, but along the way, we'll…",2
0.0,Sun Sep 30 20:01:34 +0000 2018,1.0,0.0,@CBSNews,0.0,Behind the scenes of Jeff Flake's decision to call for an FBI probe into Kavanaugh allegations… https://t.co/T75WMHufcC,3
0.7783,Sun Sep 30 19:19:38 +0000 2018,0.714,0.0,@CBSNews,0.286,"After performing on ""Saturday Night Live"" in a Make America Great Again hat, Kanye West reaffirmed his support for… https://t.co/4CwssdtxqP",4
-0.2732,Sun Sep 30 18:40:12 +0000 2018,0.877,0.123,@CBSNews,0.0,"Iranian leaders have for years doubted whether the Holocaust happened. On @FaceTheNation, Iranian Foreign Minister… https://t.co/ObFFqSfFfj",5
-0.7096,Sun Sep 30 18:19:55 +0000 2018,0.67,0.33,@CBSNews,0.0,White House counselor Kellyanne Conway says she is a victim of sexual assault https://t.co/Qb5F2lRtxk https://t.co/2qimlLhc1b,6
-0.6361,Sun Sep 30 17:59:54 +0000 2018,0.802,0.198,@CBSNews,0.0,".@johndickerson on Washington's wrenching week with the Kavanaugh and Ford hearings: 

""There is more anguish to co… https://t.co/G1qDzjLVyB",7
0.0,Sun Sep 30 17:29:41 +0000 2018,1.0,0.0,@CBSNews,0.0,Riding the rails. Dancing with wolves. Flying with eagles. Here's what you'll see on the 51st season of @60Minutes… https://t.co/xibxGxL4tG,8
0.0,Sun Sep 30 16:59:37 +0000 2018,1.0,0.0,@CBSNews,0.0,"""Boofed,"" ""Devil's Triangle,"" ""FFFFFFourth of July"": How Brett Kavanaugh explained his yearbook jokes… https://t.co/DJFUYJ2C1E",9
0.7906,Sun Sep 30 16:19:37 +0000 2018,0.611,0.0,@CBSNews,0.389,Europe wins Ryder Cup over talented U.S. team to reclaim title https://t.co/NgJMARv7xh https://t.co/mixGu28F33,10
0.0,Sun Sep 30 15:59:43 +0000 2018,1.0,0.0,@CBSNews,0.0,How the FBI will investigate the Brett Kavanaugh allegations https://t.co/kM440YeZNU https://t.co/M3vDe3mKU1,11
0.4215,Sun Sep 30 15:31:27 +0000 2018,0.851,0.0,@CBSNews,0.149,"Iranian Foreign Minister Javad Zarif tells @FaceTheNation that President Trump is a ""bully"": ""The United States is… https://t.co/8v5x3pqYHU",12
-0.296,Sun Sep 30 14:59:48 +0000 2018,0.896,0.104,@CBSNews,0.0,"John Dickerson on partisanship in the Kavanaugh/Ford hearings: ""At the end of this drama, there will be no winners""… https://t.co/oia0cWatpw",13
0.0,Sun Sep 30 14:52:23 +0000 2018,1.0,0.0,@CBSNews,0.0,Sen. Amy Klobuchar tells @FaceTheNation that Brett Kavanaugh's drinking habits are relevant to the FBI's investigat… https://t.co/6xt53KLRBh,14
-0.802,Sun Sep 30 14:49:53 +0000 2018,0.702,0.298,@CBSNews,0.0,A @48Hours investigation into one murder leads into the dark web and to the disruption of four potential murder-for… https://t.co/HlfPqPtdrd,15
-0.4215,Sun Sep 30 14:44:58 +0000 2018,0.872,0.128,@CBSNews,0.0,"Sen. Tom Cotton says on @FaceTheNation that Christine Blasey Ford has been ""victimized by the Democrats"" in the han… https://t.co/Ov8KODEBRn",16
-0.0516,Sun Sep 30 14:40:10 +0000 2018,0.746,0.132,@CBSNews,0.123,"Sen. Tom Cotton tells @facethenation: ""The Democrats have disgraced this process and the United States Senate in th… https://t.co/oI02g3Em2b",17
0.0,Sun Sep 30 14:29:36 +0000 2018,1.0,0.0,@CBSNews,0.0,".@FaceTheNation starts now. This week's guests include @SenAmyKlobuchar, @SenTomCotton and @JZarif… https://t.co/zu7iqUXOWJ",18
0.1531,Sun Sep 30 14:21:11 +0000 2018,0.918,0.0,@CBSNews,0.082,RT @60Minutes: What did Senate Judiciary Committee members think of Judge Brett Kavanaugh's emotional testimony? Republican Jeff Flake and…,19
-0.6705,Sun Sep 30 14:19:40 +0000 2018,0.645,0.355,@CBSNews,0.0,Catholic institute accused of failing to act on McCarrick allegations https://t.co/J0jDFFR8C4 https://t.co/KjySCxd8kw,20
-0.3751,Sun Sep 30 14:01:41 +0000 2018,0.707,0.2,@CBSNews,0.093,"RT @CBSSunday: EXCLUSIVE: CNN founder Ted Turner says he is battling Lewy body dementia, a progressive brain disorder which affects memory…",21
0.1877,Sun Sep 30 13:59:50 +0000 2018,0.902,0.0,@CBSNews,0.098,"Tens of thousands of women in Brazil say ""not him"" in protest against far-right presidential candidate… https://t.co/AyG5yzR1Nh",22
-0.5267,Sun Sep 30 13:39:42 +0000 2018,0.793,0.207,@CBSNews,0.0,"Senate panel refers unidentified individual's ""apparent false statements"" about Kavanaugh for criminal investigation https://t.co/18qixewp9X",23
-0.1779,Sun Sep 30 13:19:51 +0000 2018,0.649,0.212,@CBSNews,0.139,Thousands of panicked people stampeded out of NYC's Global Citizen Festival Saturday night after confusing the soun… https://t.co/Sx1z2jldpw,24
0.0,Sun Sep 30 13:03:04 +0000 2018,1.0,0.0,@CBSNews,0.0,"""Boofed,"" ""Devil's Triangle,"" ""FFFFFFourth of July"": How Brett Kavanaugh explained his yearbook jokes… https://t.co/lz22ReLWnH",25
-0.3182,Sun Sep 30 12:48:04 +0000 2018,0.647,0.223,@CBSNews,0.129,Pentagon's top enlisted service member suspended amid misconduct probe https://t.co/MWjY9FHTxf https://t.co/qgwfzVSw8g,26
-0.7579,Sun Sep 30 12:33:04 +0000 2018,0.629,0.371,@CBSNews,0.0,National Guardsmen waved van around barricade blocking flooded road before 2 drowned https://t.co/p6FCW1mWa4 https://t.co/XYSyTpZ8SX,27
0.0,Sun Sep 30 12:18:03 +0000 2018,1.0,0.0,@CBSNews,0.0,"GoFundMe campaigns for Christine Blasey Ford raise over $700,000 combined https://t.co/NArWgZFlTq https://t.co/KZpyn1ZTbu",28
-0.7906,Sun Sep 30 12:03:03 +0000 2018,0.522,0.37,@CBSNews,0.109,"""We still have a rape culture,"" says mother of sexual assault survivor Chessy Prout https://t.co/2pPSTjisne https://t.co/w63HGIH5WD",29
